TIMESTAMP,POWER
20131101 1:00,0.3842171
20131101 2:00,0.39131615
20131101 3:00,0.39221367
20131101 4:00,0.3849041
20131101 5:00,0.40268627
20131101 6:00,0.40627125
20131101 7:00,0.35848898
20131101 8:00,0.21401045
20131101 9:00,0.13066335
20131101 10:00,0.065645725
20131101 11:00,0.0552771
20131101 12:00,0.06807378
20131101 13:00,0.07273438
20131101 14:00,0.063762546
20131101 15:00,0.045215543
20131101 16:00,0.06939946
20131101 17:00,0.07499816
20131101 18:00,0.08210104
20131101 19:00,0.073395394
20131101 20:00,0.046101663
20131101 21:00,0.057522632
20131101 22:00,0.07627352
20131101 23:00,0.11143361
20131102 0:00,0.17709804
20131102 1:00,0.47576427
20131102 2:00,0.5335633
20131102 3:00,0.6008758
20131102 4:00,0.66804487
20131102 5:00,0.69291544
20131102 6:00,0.653413
20131102 7:00,0.5970167
20131102 8:00,0.5717258
20131102 9:00,0.57447124
20131102 10:00,0.5192545
20131102 11:00,0.45894632
20131102 12:00,0.35552856
20131102 13:00,0.52491695
20131102 14:00,0.6254306
20131102 15:00,0.341968
20131102 16:00,0.4074403
20131102 17:00,0.5368524
20131102 18:00,0.59200764
20131102 19:00,0.5290365
20131102 20:00,0.43900362
20131102 21:00,0.49090356
20131102 22:00,0.5777942
20131102 23:00,0.5700655
20131103 0:00,0.55899066
20131103 1:00,0.49526832
20131103 2:00,0.50679743
20131103 3:00,0.64213276
20131103 4:00,0.671133
20131103 5:00,0.65244454
20131103 6:00,0.65148103
20131103 7:00,0.64883775
20131103 8:00,0.644954
20131103 9:00,0.58490425
20131103 10:00,0.5107904
20131103 11:00,0.43036455
20131103 12:00,0.59036535
20131103 13:00,0.6044739
20131103 14:00,0.6410833
20131103 15:00,0.6885471
20131103 16:00,0.7225347
20131103 17:00,0.7432467
20131103 18:00,0.7592239
20131103 19:00,0.7706833
20131103 20:00,0.78468674
20131103 21:00,0.8110002
20131103 22:00,0.8586079
20131103 23:00,0.8140622
20131104 0:00,0.74459255
20131104 1:00,0.7079668
20131104 2:00,0.632493
20131104 3:00,0.56597227
20131104 4:00,0.47917563
20131104 5:00,0.43161237
20131104 6:00,0.42041126
20131104 7:00,0.4228663
20131104 8:00,0.4416182
20131104 9:00,0.31093365
20131104 10:00,0.3624625
20131104 11:00,0.44997075
20131104 12:00,0.5034851
20131104 13:00,0.53882164
20131104 14:00,0.5709239
20131104 15:00,0.5917009
20131104 16:00,0.6267461
20131104 17:00,0.65811366
20131104 18:00,0.6488179
20131104 19:00,0.6232658
20131104 20:00,0.60641116
20131104 21:00,0.6728328
20131104 22:00,0.7255394
20131104 23:00,0.7386361
20131105 0:00,0.6644331
20131105 1:00,0.48188218
20131105 2:00,0.35236236
20131105 3:00,0.25465986
20131105 4:00,0.18071151
20131105 5:00,0.13007182
20131105 6:00,0.09175538
20131105 7:00,0.08134004
20131105 8:00,0.13855103
20131105 9:00,0.24520269
20131105 10:00,0.3480367
20131105 11:00,0.33960634
20131105 12:00,0.32965034
20131105 13:00,0.33663192
20131105 14:00,0.34260538
20131105 15:00,0.3440517
20131105 16:00,0.31880358
20131105 17:00,0.3023757
20131105 18:00,0.31618124
20131105 19:00,0.33820575
20131105 20:00,0.3529541
20131105 21:00,0.4558252
20131105 22:00,0.4720702
20131105 23:00,0.5384994
20131106 0:00,0.5360433
20131106 1:00,0.4177258
20131106 2:00,0.32448992
20131106 3:00,0.26021206
20131106 4:00,0.23693424
20131106 5:00,0.23912948
20131106 6:00,0.23274124
20131106 7:00,0.21631575
20131106 8:00,0.13551375
20131106 9:00,0.13601515
20131106 10:00,0.11070969
20131106 11:00,0.25918797
20131106 12:00,0.23133203
20131106 13:00,0.40650734
20131106 14:00,0.5118825
20131106 15:00,0.55501735
20131106 16:00,0.52167886
20131106 17:00,0.3813604
20131106 18:00,0.21551183
20131106 19:00,0.15803126
20131106 20:00,0.1808024
20131106 21:00,0.2604091
20131106 22:00,0.11800066
20131106 23:00,0.09129452
20131107 0:00,0.23830953
20131107 1:00,0.37881163
20131107 2:00,0.4678338
20131107 3:00,0.3530485
20131107 4:00,0.43905133
20131107 5:00,0.54107744
20131107 6:00,0.64775115
20131107 7:00,0.80738646
20131107 8:00,0.7441268
20131107 9:00,0.4534795
20131107 10:00,0.104307115
20131107 11:00,0.033553973
20131107 12:00,0.38860223
20131107 13:00,0.43190166
20131107 14:00,0.47281817
20131107 15:00,0.23090771
20131107 16:00,0.62450844
20131107 17:00,0.6859161
20131107 18:00,0.72477156
20131107 19:00,0.6876425
20131107 20:00,0.71268046
20131107 21:00,0.7082326
20131107 22:00,0.76620513
20131107 23:00,0.8047715
20131108 0:00,0.82285327
20131108 1:00,0.80902624
20131108 2:00,0.80785483
20131108 3:00,0.8090423
20131108 4:00,0.83396256
20131108 5:00,0.8424064
20131108 6:00,0.7986847
20131108 7:00,0.76454395
20131108 8:00,0.72684246
20131108 9:00,0.65583366
20131108 10:00,0.57362336
20131108 11:00,0.49273863
20131108 12:00,0.42467907
20131108 13:00,0.37796012
20131108 14:00,0.34965405
20131108 15:00,0.2559952
20131108 16:00,0.19336116
20131108 17:00,0.20248255
20131108 18:00,0.2349731
20131108 19:00,0.18924078
20131108 20:00,0.17586878
20131108 21:00,0.2901816
20131108 22:00,0.44747764
20131108 23:00,0.50331336
20131109 0:00,0.46309957
20131109 1:00,0.46192846
20131109 2:00,0.49084708
20131109 3:00,0.54000044
20131109 4:00,0.59397113
20131109 5:00,0.61789024
20131109 6:00,0.6234294
20131109 7:00,0.63302565
20131109 8:00,0.66182333
20131109 9:00,0.63585764
20131109 10:00,0.5141196
20131109 11:00,0.44732735
20131109 12:00,0.39881733
20131109 13:00,0.39554557
20131109 14:00,0.50790775
20131109 15:00,0.4812005
20131109 16:00,0.4302304
20131109 17:00,0.40994027
20131109 18:00,0.40715772
20131109 19:00,0.40100664
20131109 20:00,0.41599545
20131109 21:00,0.48483834
20131109 22:00,0.5744117
20131109 23:00,0.57111895
20131110 0:00,0.52805716
20131110 1:00,0.5764425
20131110 2:00,0.56720644
20131110 3:00,0.54562634
20131110 4:00,0.54598033
20131110 5:00,0.5714467
20131110 6:00,0.59221554
20131110 7:00,0.6018714
20131110 8:00,0.5768043
20131110 9:00,0.42952165
20131110 10:00,0.36082408
20131110 11:00,0.43353784
20131110 12:00,0.56363636
20131110 13:00,0.48740044
20131110 14:00,0.43715405
20131110 15:00,0.39380482
20131110 16:00,0.35318014
20131110 17:00,0.3055673
20131110 18:00,0.24540952
20131110 19:00,0.19482887
20131110 20:00,0.21533355
20131110 21:00,0.2826193
20131110 22:00,0.32244918
20131110 23:00,0.44500116
20131111 0:00,0.47401714
20131111 1:00,0.41434598
20131111 2:00,0.4162362
20131111 3:00,0.4667207
20131111 4:00,0.5059415
20131111 5:00,0.52189755
20131111 6:00,0.530297
20131111 7:00,0.5463341
20131111 8:00,0.5065514
20131111 9:00,0.31278712
20131111 10:00,0.2383801
20131111 11:00,0.39999747
20131111 12:00,0.43509084
20131111 13:00,0.29703298
20131111 14:00,0.21891737
20131111 15:00,0.13941696
20131111 16:00,0.11704052
20131111 17:00,0.11505024
20131111 18:00,0.11578447
20131111 19:00,0.11324125
20131111 20:00,0.109132685
20131111 21:00,0.14682338
20131111 22:00,0.20833933
20131111 23:00,0.34746113
20131112 0:00,0.4211524
20131112 1:00,0.4623282
20131112 2:00,0.4795755
20131112 3:00,0.5204732
20131112 4:00,0.5358338
20131112 5:00,0.55367184
20131112 6:00,0.5790381
20131112 7:00,0.59987235
20131112 8:00,0.63299495
20131112 9:00,0.6316858
20131112 10:00,0.57066673
20131112 11:00,0.47645715
20131112 12:00,0.40138814
20131112 13:00,0.32417008
20131112 14:00,0.2657604
20131112 15:00,0.2184135
20131112 16:00,0.17668936
20131112 17:00,0.15769342
20131112 18:00,0.14623639
20131112 19:00,0.12926345
20131112 20:00,0.108804606
20131112 21:00,0.23567325
20131112 22:00,0.13042885
20131112 23:00,0.072967224
20131113 0:00,0.06483163
20131113 1:00,0.039227374
20131113 2:00,0.0685129
20131113 3:00,0.11323674
20131113 4:00,0.2147758
20131113 5:00,0.3005998
20131113 6:00,0.35881692
20131113 7:00,0.39248443
20131113 8:00,0.42190742
20131113 9:00,0.42182186
20131113 10:00,0.5443771
20131113 11:00,0.5191143
20131113 12:00,0.399099
20131113 13:00,0.32037464
20131113 14:00,0.34677008
20131113 15:00,0.43739635
20131113 16:00,0.430326
20131113 17:00,0.4009156
20131113 18:00,0.3757315
20131113 19:00,0.3811859
20131113 20:00,0.4017993
20131113 21:00,0.4367079
20131113 22:00,0.40571064
20131113 23:00,0.280354
20131114 0:00,0.12069008
20131114 1:00,0.07847799
20131114 2:00,0.24587655
20131114 3:00,0.457788
20131114 4:00,0.5416028
20131114 5:00,0.5227777
20131114 6:00,0.4496359
20131114 7:00,0.38268098
20131114 8:00,0.3177676
20131114 9:00,0.15288219
20131114 10:00,0.18737161
20131114 11:00,0.2940093
20131114 12:00,0.5639491
20131114 13:00,0.6230261
20131114 14:00,0.6246498
20131114 15:00,0.6077003
20131114 16:00,0.54641587
20131114 17:00,0.49450728
20131114 18:00,0.54338056
20131114 19:00,0.55688983
20131114 20:00,0.55523235
20131114 21:00,0.6034063
20131114 22:00,0.63808364
20131114 23:00,0.67392707
20131115 0:00,0.6497032
20131115 1:00,0.52215654
20131115 2:00,0.315721
20131115 3:00,0.07816609
20131115 4:00,0.045249417
20131115 5:00,0.036404233
20131115 6:00,0.028606175
20131115 7:00,0.060060468
20131115 8:00,0.10114609
20131115 9:00,0.08435798
20131115 10:00,0.0870488
20131115 11:00,0.11796316
20131115 12:00,0.24779955
20131115 13:00,0.50145245
20131115 14:00,0.6913498
20131115 15:00,0.6849901
20131115 16:00,0.66800654
20131115 17:00,0.64405906
20131115 18:00,0.62681365
20131115 19:00,0.62369996
20131115 20:00,0.62758195
20131115 21:00,0.62137085
20131115 22:00,0.63969153
20131115 23:00,0.60025793
20131116 0:00,0.53197336
20131116 1:00,0.31854922
20131116 2:00,0.22255126
20131116 3:00,0.23562378
20131116 4:00,0.27902743
20131116 5:00,0.36725187
20131116 6:00,0.4553728
20131116 7:00,0.51227236
20131116 8:00,0.5389955
20131116 9:00,0.4642718
20131116 10:00,0.4043685
20131116 11:00,0.41015068
20131116 12:00,0.48114973
20131116 13:00,0.46571925
20131116 14:00,0.42374438
20131116 15:00,0.3697303
20131116 16:00,0.31140962
20131116 17:00,0.28623337
20131116 18:00,0.2925986
20131116 19:00,0.29822406
20131116 20:00,0.3182197
20131116 21:00,0.40527067
20131116 22:00,0.4697333
20131116 23:00,0.48414126
20131117 0:00,0.4274273
20131117 1:00,0.29527393
20131117 2:00,0.28075436
20131117 3:00,0.25071764
20131117 4:00,0.20720372
20131117 5:00,0.18352598
20131117 6:00,0.19558892
20131117 7:00,0.22038555
20131117 8:00,0.24680015
20131117 9:00,0.13370582
20131117 10:00,0.20074615
20131117 11:00,0.26479578
20131117 12:00,0.24909243
20131117 13:00,0.21787113
20131117 14:00,0.20442468
20131117 15:00,0.17574367
20131117 16:00,0.15304646
20131117 17:00,0.13181561
20131117 18:00,0.13725916
20131117 19:00,0.18926367
20131117 20:00,0.18153927
20131117 21:00,0.25730422
20131117 22:00,0.29276666
20131117 23:00,0.4367591
20131118 0:00,0.35761872
20131118 1:00,0.32809374
20131118 2:00,0.29006597
20131118 3:00,0.26352242
20131118 4:00,0.24702424
20131118 5:00,0.2269508
20131118 6:00,0.20587227
20131118 7:00,0.21237126
20131118 8:00,0.25300783
20131118 9:00,0.24397701
20131118 10:00,0.2381283
20131118 11:00,0.225483
20131118 12:00,0.036298625
20131118 13:00,0.24735713
20131118 14:00,0.20770466
20131118 15:00,0.228235
20131118 16:00,0.3000698
20131118 17:00,0.34473526
20131118 18:00,0.35700396
20131118 19:00,0.361833
20131118 20:00,0.36403057
20131118 21:00,0.443391
20131118 22:00,0.47681966
20131118 23:00,0.5921146
20131119 0:00,0.67052513
20131119 1:00,0.6149189
20131119 2:00,0.56165516
20131119 3:00,0.5009659
20131119 4:00,0.48810348
20131119 5:00,0.46962026
20131119 6:00,0.45425424
20131119 7:00,0.45222455
20131119 8:00,0.3537802
20131119 9:00,0.12671345
20131119 10:00,0.51145643
20131119 11:00,0.42564395
20131119 12:00,0.4186861
20131119 13:00,0.53945535
20131119 14:00,0.57628
20131119 15:00,0.38567576
20131119 16:00,0.46937555
20131119 17:00,0.46127602
20131119 18:00,0.3946713
20131119 19:00,0.28961024
20131119 20:00,0.35366037
20131119 21:00,0.2772599
20131119 22:00,0.36425856
20131119 23:00,0.40311396
20131120 0:00,0.4801467
20131120 1:00,0.17184389
20131120 2:00,0.17137435
20131120 3:00,0.33259296
20131120 4:00,0.5225629
20131120 5:00,0.5781618
20131120 6:00,0.5713228
20131120 7:00,0.57781327
20131120 8:00,0.5996145
20131120 9:00,0.7385085
20131120 10:00,0.7044489
20131120 11:00,0.611229
20131120 12:00,0.52354634
20131120 13:00,0.43598756
20131120 14:00,0.40999115
20131120 15:00,0.39588347
20131120 16:00,0.35628405
20131120 17:00,0.25296342
20131120 18:00,0.26222444
20131120 19:00,0.26684076
20131120 20:00,0.31230387
20131120 21:00,0.41579938
20131120 22:00,0.38040325
20131120 23:00,0.34558737
20131121 0:00,0.28431568
20131121 1:00,0.16435698
20131121 2:00,0.27115875
20131121 3:00,0.38175943
20131121 4:00,0.4501407
20131121 5:00,0.48220047
20131121 6:00,0.50049734
20131121 7:00,0.53490514
20131121 8:00,0.6062043
20131121 9:00,0.6173162
20131121 10:00,0.51886606
20131121 11:00,0.45887932
20131121 12:00,0.40943325
20131121 13:00,0.34231725
